NRO_DETECCION,FECHA_PAPELETA,REGION,CARRETERA,LATITUD,LONGITUD,LIMITE_VELOCIDAD,VELOCIDAD_DETECTADA,FECHA_CORTE,lat,lon
56,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,119,20211003,-11.76064722,-77.155175
57,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,106,20211003,-11.76064722,-77.155175
58,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,135,20211003,-11.76064722,-77.155175
59,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,108,20211003,-11.76064722,-77.155175
60,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,116,20211003,-11.76064722,-77.155175
61,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,107,20211003,-11.76064722,-77.155175
62,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,116,20211003,-11.76064722,-77.155175
63,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,125,20211003,-11.76064722,-77.155175
64,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,109,20211003,-11.76064722,-77.155175
65,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,122,20211003,-11.76064722,-77.155175
66,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,113,20211003,-11.76064722,-77.155175
67,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,131,20211003,-11.76064722,-77.155175
68,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,118,20211003,-11.76064722,-77.155175
69,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,108,20211003,-11.76064722,-77.155175
70,20191031,LIMA,Panamericana Norte,-11.76064722,-77.155175,100,109,20211003,-11.76064722,-77.155175
71,20191101,LIMA,Panamericana Sur,-12.73199444,-76.61547778,100,108,20211003,-12.73199444,-76.61547778
72,20191101,LIMA,Panamericana Sur,-12.73199444,-76.61547778,100,107,20211003,-12.73199444,-76.61547778
73,20191101,LIMA,Panamericana Sur,-12.73205,-76.61541944,100,107,20211003,-12.73205,-76.61541944
74,20191101,LIMA,Panamericana Sur,-12.73191944,-76.61563333,100,108,20211003,-12.73191944,-76.61563333
75,20191101,LIMA,Panamericana Sur,-12.73214167,-76.615375,100,108,20211003,-12.73214167,-76.615375
76,20191101,LIMA,Panamericana Sur,-12.73210833,-76.61539167,100,109,20211003,-12.73210833,-76.61539167
77,20191101,LIMA,Panamericana Sur,-12.732075,-76.61543056,100,119,20211003,-12.732075,-76.61543056
78,20191101,LIMA,Panamericana Sur,-12.73203611,-76.61543056,100,106,20211003,-12.73203611,-76.61543056
79,20191101,LIMA,Panamericana Sur,-12.73203611,-76.61543056,100,118,20211003,-12.73203611,-76.61543056
80,20191101,LIMA,Panamericana Sur,-12.73203611,-76.61543056,100,108,20211003,-12.73203611,-76.61543056
81,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,115,20211003,-12.73206111,-76.61541111
82,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,121,20211003,-12.73206111,-76.61541111
83,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,106,20211003,-12.73206111,-76.61541111
84,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,114,20211003,-12.73206111,-76.61541111
85,20191101,Lima,Panamericana Sur,-12.73206111,-76.61541111,100,111,20211003,-12.73206111,-76.61541111
86,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,115,20211003,-12.73206111,-76.61541111
87,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,114,20211003,-12.73206111,-76.61541111
88,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,106,20211003,-12.73206111,-76.61541111
89,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,107,20211003,-12.73206111,-76.61541111
90,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,134,20211003,-12.73206111,-76.61541111
91,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,110,20211003,-12.73206111,-76.61541111
92,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,106,20211003,-12.73206111,-76.61541111
93,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,108,20211003,-12.73206111,-76.61541111
94,20191101,LIMA,Panamericana Sur,-12.73206111,-76.61541111,100,113,20211003,-12.73206111,-76.61541111
95,20191101,LIMA,Panamericana Sur,-12.77110556,-76.59193611,100,106,20211003,-12.77110556,-76.59193611
96,20191101,LIMA,Panamericana Sur,-12.77109167,-76.59213333,100,107,20211003,-12.77109167,-76.59213333
97,20191101,LIMA,Panamericana Sur,-12.77125278,-76.59204167,100,108,20211003,-12.77125278,-76.59204167
98,20191101,LIMA,Panamericana Sur,-12.77110833,-76.59206944,100,110,20211003,-12.77110833,-76.59206944
99,20191101,LIMA,Panamericana Sur,-12.77113611,-76.59204167,100,107,20211003,-12.77113611,-76.59204167
100,20191101,LIMA,Panamericana Sur,-12.77113611,-76.59204167,100,109,20211003,-12.77113611,-76.59204167
101,20191101,LIMA,Panamericana Sur,-12.7711,-76.59185278,100,106,20211003,-12.7711,-76.59185278
102,20191101,LIMA,Panamericana Sur,-12.77106944,-76.592,100,116,20211003,-12.77106944,-76.592
103,20191101,LIMA,Panamericana Sur,-12.77096667,-76.59184444,100,156,20211003,-12.77096667,-76.59184444
104,20191101,LIMA,Panamericana Sur,-12.77118611,-76.59233611,80,88,20211003,-12.77118611,-76.59233611
105,20191101,LIMA,Panamericana Sur,-12.77099444,-76.59190556,100,109,20211003,-12.77099444,-76.59190556
106,20191101,LIMA,Panamericana Sur,-12.77093056,-76.59178611,100,119,20211003,-12.77093056,-76.59178611
107,20191101,LIMA,Panamericana Sur,-12.77096389,-76.59170278,100,132,20211003,-12.77096389,-76.59170278
108,20191101,LIMA,Panamericana Sur,-12.73205833,-76.61544167,90,98,20211003,-12.73205833,-76.61544167
109,20191101,LIMA,Panamericana Sur,-12.77114444,-76.59204444,90,98,20211003,-12.77114444,-76.59204444
110,20191101,LIMA,Panamericana Sur,-12.77099444,-76.59183056,100,110,20211003,-12.77099444,-76.59183056
111,20191101,LIMA,Panamericana Sur,-12.77098333,-76.59180556,100,116,20211003,-12.77098333,-76.59180556
112,20191101,LIMA,Panamericana Sur,-12.77096944,-76.59185833,100,129,20211003,-12.77096944,-76.59185833
113,20191101,LIMA,Panamericana Sur,-12.771125,-76.59205,100,129,20211003,-12.771125,-76.59205
114,20191101,LIMA,Panamericana Sur,-12.771125,-76.59205,100,108,20211003,-12.771125,-76.59205
115,20191101,LIMA,Panamericana Sur,-12.77113056,-76.59204167,100,112,20211003,-12.77113056,-76.59204167
116,20191101,LIMA,Panamericana Sur,-12.77113056,-76.59204167,100,106,20211003,-12.77113056,-76.59204167
117,20191101,LIMA,Panamericana Sur,-12.77111667,-76.59204444,100,111,20211003,-12.77111667,-76.59204444
118,20191101,LIMA,Panamericana Sur,-12.77111667,-76.59204444,100,119,20211003,-12.77111667,-76.59204444
119,20191101,LIMA,Panamericana Sur,-12.77098889,-76.59175833,100,122,20211003,-12.77098889,-76.59175833
120,20191101,LIMA,Panamericana Sur,-12.77096667,-76.59177778,100,106,20211003,-12.77096667,-76.59177778
121,20191101,LIMA,Panamericana Sur,-12.77094444,-76.59179167,100,107,20211003,-12.77094444,-76.59179167
122,20191101,LIMA,Panamericana Sur,-12.77096667,-76.59180833,100,106,20211003,-12.77096667,-76.59180833
123,20191101,LIMA,Panamericana Sur,-12.77097778,-76.59175556,100,121,20211003,-12.77097778,-76.59175556
124,20191101,LIMA,Panamericana Sur,-12.77114444,-76.5922,90,96,20211003,-12.77114444,-76.5922
125,20191101,LIMA,Panamericana Sur,-12.77099444,-76.59183056,100,127,20211003,-12.77099444,-76.59183056
126,20191101,LIMA,Panamericana Sur,-12.77098333,-76.59180556,100,106,20211003,-12.77098333,-76.59180556
127,20191101,LIMA,Panamericana Sur,-12.771,-76.59178333,100,123,20211003,-12.771,-76.59178333
128,20191101,LIMA,Panamericana Sur,-12.77096944,-76.59185833,100,128,20211003,-12.77096944,-76.59185833
129,20191101,LIMA,Panamericana Sur,-12.77097222,-76.59181111,100,139,20211003,-12.77097222,-76.59181111
130,20191101,LIMA,Panamericana Sur,-12.77097222,-76.59181111,100,106,20211003,-12.77097222,-76.59181111
131,20191101,LIMA,Panamericana Sur,-12.77098611,-76.59179444,100,112,20211003,-12.77098611,-76.59179444
132,20191101,LIMA,Panamericana Sur,-12.77097222,-76.59181944,100,110,20211003,-12.77097222,-76.59181944
133,20191101,LIMA,Panamericana Sur,-12.771,-76.591775,100,112,20211003,-12.771,-76.591775
134,20191101,LIMA,Panamericana Sur,-12.77096111,-76.591925,100,107,20211003,-12.77096111,-76.591925
135,20191101,LIMA,Panamericana Sur,-12.77096667,-76.59183333,100,108,20211003,-12.77096667,-76.59183333
136,20191101,LIMA,Panamericana Sur,-12.77098333,-76.59185278,100,109,20211003,-12.77098333,-76.59185278
137,20191101,LIMA,Panamericana Sur,-12.770975,-76.59175833,100,124,20211003,-12.770975,-76.59175833
138,20191101,LIMA,Panamericana Sur,-12.77098611,-76.59173333,100,112,20211003,-12.77098611,-76.59173333
139,20191101,LIMA,Panamericana Sur,-12.77097778,-76.59182778,100,114,20211003,-12.77097778,-76.59182778
140,20191101,LIMA,Panamericana Sur,-12.77097778,-76.59182778,100,108,20211003,-12.77097778,-76.59182778
141,20191101,LIMA,Panamericana Sur,-12.770975,-76.59178889,100,115,20211003,-12.770975,-76.59178889
142,20191101,LIMA,Panamericana Sur,-12.77094444,-76.59185556,100,116,20211003,-12.77094444,-76.59185556
143,20191101,LIMA,Panamericana Sur,-12.77094167,-76.59185,100,112,20211003,-12.77094167,-76.59185
144,20191101,LIMA,Panamericana Sur,-12.77098333,-76.59185278,100,148,20211003,-12.77098333,-76.59185278
145,20191101,LIMA,Panamericana Sur,-12.77098056,-76.59185278,100,114,20211003,-12.77098056,-76.59185278
146,20191101,LIMA,Panamericana Sur,-12.73205833,-76.61543611,100,119,20211003,-12.73205833,-76.61543611
147,20191101,LIMA,Panamericana Sur,-12.73205833,-76.61544167,100,114,20211003,-12.73205833,-76.61544167
148,20191101,LIMA,Panamericana Sur,-12.73205833,-76.61544167,100,113,20211003,-12.73205833,-76.61544167
149,20191101,LIMA,Panamericana Sur,-12.73205833,-76.61544167,100,110,20211003,-12.73205833,-76.61544167
150,20191101,LIMA,Panamericana Sur,-12.73205,-76.61544167,100,108,20211003,-12.73205,-76.61544167
151,20191101,LIMA,Panamericana Sur,-12.73207778,-76.61541111,100,113,20211003,-12.73207778,-76.61541111
152,20191101,LIMA,Panamericana Sur,-12.73189444,-76.61539167,100,120,20211003,-12.73189444,-76.61539167
153,20191101,LIMA,Panamericana Sur,-12.73189444,-76.61539167,100,118,20211003,-12.73189444,-76.61539167
154,20191101,LIMA,Panamericana Sur,-12.73189444,-76.61539167,100,116,20211003,-12.73189444,-76.61539167
155,20191101,LIMA,Panamericana Sur,-12.732125,-76.61535,100,116,20211003,-12.732125,-76.61535
156,20191101,LIMA,Panamericana Sur,-12.73205833,-76.61542222,100,110,20211003,-12.73205833,-76.61542222
157,20191101,LIMA,Panamericana Sur,-12.73208611,-76.61544167,100,115,20211003,-12.73208611,-76.61544167
158,20191101,LIMA,Panamericana Sur,-12.73208333,-76.61544167,100,120,20211003,-12.73208333,-76.61544167
159,20191101,LIMA,Panamericana Sur,-12.73208611,-76.61542778,100,113,20211003,-12.73208611,-76.61542778
160,20191101,LIMA,Panamericana Sur,-12.73208611,-76.61542778,100,109,20211003,-12.73208611,-76.61542778
161,20191101,LIMA,Panamericana Sur,-12.73208611,-76.61542778,100,115,20211003,-12.73208611,-76.61542778
162,20191101,LIMA,Panamericana Sur,-12.73210556,-76.61543889,100,106,20211003,-12.73210556,-76.61543889
163,20191101,LIMA,Panamericana Sur,-12.73210556,-76.61543889,100,113,20211003,-12.73210556,-76.61543889
164,20191101,LIMA,Panamericana Sur,-12.73203611,-76.61536111,100,111,20211003,-12.73203611,-76.61536111
165,20191101,LIMA,Panamericana Sur,-12.73208333,-76.61541944,100,120,20211003,-12.73208333,-76.61541944
166,20191101,LIMA,Panamericana Sur,-12.73208333,-76.61541944,100,112,20211003,-12.73208333,-76.61541944
167,20191101,LIMA,Panamericana Sur,-12.73205833,-76.61538333,100,110,20211003,-12.73205833,-76.61538333
168,20191101,LIMA,Panamericana Sur,-12.73215833,-76.61539444,100,107,20211003,-12.73215833,-76.61539444
169,20191101,LIMA,Panamericana Sur,-12.73215833,-76.61539444,100,114,20211003,-12.73215833,-76.61539444
170,20191101,LIMA,Panamericana Sur,-12.732125,-76.61548611,100,108,20211003,-12.732125,-76.61548611
171,20191101,LIMA,Panamericana Sur,-12.732125,-76.61548611,100,105,20211003,-12.732125,-76.61548611
172,20191101,LIMA,Panamericana Sur,-12.732125,-76.61548611,100,105,20211003,-12.732125,-76.61548611
173,20191101,LIMA,Panamericana Sur,-12.732125,-76.61548611,100,124,20211003,-12.732125,-76.61548611
174,20191101,LIMA,Panamericana Sur,-12.73206944,-76.61540833,100,108,20211003,-12.73206944,-76.61540833
175,20191101,LIMA,Panamericana Sur,-12.73206944,-76.61540833,100,130,20211003,-12.73206944,-76.61540833
176,20191101,LIMA,Panamericana Sur,-12.73201667,-76.61551389,100,129,20211003,-12.73201667,-76.61551389
177,20191101,LIMA,Panamericana Sur,-12.73208056,-76.61536667,100,118,20211003,-12.73208056,-76.61536667
178,20191101,LIMA,Panamericana Sur,-12.73208056,-76.61536667,100,118,20211003,-12.73208056,-76.61536667
179,20191101,LIMA,Panamericana Sur,-12.73218333,-76.61538611,100,120,20211003,-12.73218333,-76.61538611
180,20191101,LIMA,Panamericana Sur,-12.73218333,-76.61538611,100,113,20211003,-12.73218333,-76.61538611
181,20191101,LIMA,Panamericana Sur,-12.73213333,-76.61535833,100,115,20211003,-12.73213333,-76.61535833
