siglas,tramo,accidentes_2019_2025,lon0,lat0,lon1,lat1,longitud_km
LS2,Sausacocha-Huamachuco,24,-77.98409,-7.80237,-78.04871,-7.81547,7.27
MCO,Cayalti - Oyotum,3,-78.58574,-5.7578,-79.2504,-6.77835,135.18
MCO,Cayalti-Oyotun,20,-78.58574,-5.7578,-79.30033,-6.84629,144.52
RV4,CASMA - CHIMBOTE,335,-78.21368,-9.47287,-78.59361,-9.0745,60.83
RV4,CHIMBOTE - SANTA,208,-78.59361,-9.0745,-78.51559,-9.04885,9.03
RV4,HUARMEY - CASMA,584,-78.22006,-9.92381,-78.21368,-9.47287,50.15
RV4,PATIVILCA - HUARMEY,798,-77.65852,-10.62951,-78.22006,-9.92381,99.66
RV5,CHANCAY - HUACHO,2161,-77.27,-11.56277,-77.61033,-11.10852,62.67
RV6,Chilca-Lima,13,-76.72119,-12.5332,-77.03059,-12.04598,63.76
RV6,Chincha-Ica,14,-75.95269,-13.29648,-75.9067,-13.93218,70.86
