CÓDIGO SINIESTRO,FECHA SINIESTRO,HORA SINIESTRO,CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA,lat,lon,fecha,fallecidos,"('ruta',)",km_red,dist_linea_km,tramo_km0,tramo_km1
A-2021-01-58,06/01/2021,07:30,ATROPELLO FUGA,1,0,0.0,JUNIN,HUANCAYO,CULLHUAS,RURAL,CARRETERA,NACIONAL,PE-3S,-12.2348153,-75.1553866,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-12.2348153,-75.1553866,2021-01-06,1,PE-3S,146.549293501612,0.0025690917570328933,133.182,155.569
A-2021-01-43,07/01/2021,19:40,ATROPELLO,1,0,1.0,ANCASH,SANTA,SANTA,RURAL,CARRETERA,NACIONAL,PE-1N,-9.004006503532352,-78.61846985128324,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA,-9.004006503532352,-78.61846985128324,2021-01-07,1,PE-1N,441.71323906689497,0.01662009398200356,440.527,443.894
A-2021-01-35,08/01/2021,05:20,CHOQUE,1,0,1.0,ICA,ICA,PUEBLO NUEVO,URBANA,CARRETERA,NACIONAL,PE-1S,-14.11280351736792,-75.71768884490805,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-14.11280351736792,-75.71768884490805,2021-01-08,1,PE-1S,303.30231800327687,0.0008462898187565474,302.442,305.984
A-2021-01-335,09/01/2021,06:20,CHOQUE,2,0,2.0,AREQUIPA,CARAVELI,LOMAS,RURAL,CARRETERA,NACIONAL,PE-1S,-15.296713,-74.915512,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-15.296713,-74.915512,2021-01-09,2,PE-1S,501.91023139717356,0.00639142428652892,498.583,510.172
A-2021-01-49,09/01/2021,16:20,CHOQUE,1,4,2.0,LIMA,BARRANCA,PATIVILCA,RURAL,CARRETERA,NACIONAL,PE-16A,-10.658884060554785,-77.6526383087629,SOLEADO,RURAL,CURVA,PLANA ,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,-10.658884060554785,-77.6526383087629,2021-01-09,1,PE-16A,18.945840818347015,0.0065084940535422,18.521,26.956
A-2021-01-63,09/01/2021,19:50,CHOQUE,1,0,2.0,ICA,ICA,SAN JOSE DE LOS MOLINOS,URBANA,CARRETERA,NACIONAL,PE-1SC,-13.963668753161592,-75.69515216658996,DESPEJADO,ESCOLAR,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,-13.963668753161592,-75.69515216658996,2021-01-09,1,PE-1SC,16.76150299535873,0.005209030194980461,15.869,19.518
A-2021-01-109,10/01/2021,02:30,ATROPELLO,1,0,1.0,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,URBANA,CARRETERA,NACIONAL,PE-1NJ,-6.145723,-79.718245,DESPEJADO,RESIDENCIAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),PREVENTIVA (P),SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-6.145723,-79.718245,2021-01-10,1,PE-1NJ,67.12660411551639,0.0013594059470447258,36.368,85.597
A-2021-01-51,10/01/2021,05:20,ATROPELLO FUGA,1,0,0.0,LIMA,HUAURA,VEGUETA,RURAL,CARRETERA,NACIONAL,PE-1N,-11.030083804634163,-77.5926482784233,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-11.030083804634163,-77.5926482784233,2021-01-10,1,PE-1N,158.38989605713124,0.010668898779531193,154.466,167.558
A-2021-01-55,10/01/2021,05:40,CHOQUE,1,1,2.0,SAN MARTIN,MOYOBAMBA,CALZADA,URBANA,CARRETERA,NACIONAL,PE-5N,-6.039758,-77.060566,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),INFORMATIVA (I),NO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,-6.039758,-77.060566,2021-01-10,1,PE-5N,1067.9749061688374,0.0059314842271953536,1045.796,1067.997
A-2021-01-68,10/01/2021,14:30,VOLCADURA,1,0,1.0,LAMBAYEQUE,CHICLAYO,NUEVA ARICA,RURAL,CARRETERA,NACIONAL,PE-1NI,-6.880811,-79.363869,DESPEJADO,RURAL,ÓVALO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,SI,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,-6.880811,-79.363869,2021-01-10,1,PE-1NI,39.14894002387733,0.019991395050565897,15.527,41.534
A-2021-01-405,10/01/2021,20:30,CHOQUE,1,1,3.0,HUANUCO,HUANUCO,AMARILIS,URBANA,CARRETERA,NACIONAL,PE-18A,-9.913026,-76.23101,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,-9.913026,-76.23101,2021-01-10,1,PE-18A,5.234412924017731,0.0021203921006948366,1.75,7.344
A-2021-01-54,10/01/2021,20:30,CHOQUE,1,1,2.0,LIMA,HUARAL,CHANCAY,RURAL,CARRETERA,NACIONAL,PE-1N,-11.605630713512038,-77.24177233479881,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),NO,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),-11.605630713512038,-77.24177233479881,2021-01-10,1,PE-1N,76.38501441802617,0.003390922781952435,74.805,77.772
A-2021-01-72,11/01/2021,01:00,ATROPELLO,1,0,1.0,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,RURAL,CARRETERA,NACIONAL,PE-1N,-6.637867,-79.950015,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-6.637867,-79.950015,2021-01-11,1,PE-1N,803.1920312151892,0.0006069176699110988,795.961,815.315
A-2021-01-60,11/01/2021,06:46,DESPISTE,1,2,1.0,TACNA,TARATA,TARATA,RURAL,CARRETERA,NACIONAL,PE-38,-17.4667790645833,-70.0345603030153,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,-17.4667790645833,-70.0345603030153,2021-01-11,1,PE-38,91.28399608452116,0.0014884291570145317,89.873,91.293
A-2021-01-297,11/01/2021,07:00,ATROPELLO,1,0,1.0,CUSCO,ESPINAR,OCORURO,RURAL,CARRETERA,NACIONAL,PE-34J,-14.9720021054264,-71.1823097310146,NUBLADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,SI,REGULADORA (R),PREVENTIVA (P),NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-14.9720021054264,-71.1823097310146,2021-01-11,1,PE-34J,104.27615683763489,0.027001511210382932,94.15,105.248
A-2021-01-78,11/01/2021,07:30,CHOQUE,1,4,2.0,LA LIBERTAD,ASCOPE,CHICAMA,RURAL,CARRETERA,NACIONAL,PE-1NF,-7.743064,-79.08115,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,-7.743064,-79.08115,2021-01-11,1,PE-1NF,15.384299611341763,0.02008642148677907,11.322,19.228
A-2021-01-140,11/01/2021,10:25,CHOQUE,1,1,2.0,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,URBANA,CARRETERA,NACIONAL,PE-36A,-17.192137,-70.918786,SOLEADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,REGULADORA (R),REGULADORA (R),NO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,-17.192137,-70.918786,2021-01-11,1,PE-36A,9.055623258478361,0.0022441612142181716,0.0,9.6
A-2021-01-232,11/01/2021,13:45,DESPISTE,1,1,1.0,PUNO,SAN ROMAN,CABANA,RURAL,CARRETERA,NACIONAL,PE-34A,-15.617333238431144,-70.32051956332245,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),INFORMATIVA (I),SI,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),-15.617333238431144,-70.32051956332245,2021-01-11,1,PE-34A,275.3262111403581,0.006318240505133016,239.618,277.096
A-2021-01-122,12/01/2021,11:10,CHOQUE,1,1,3.0,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,URBANA,CARRETERA,NACIONAL,PE-1NJ,-6.152203,-79.710059,SOLEADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),REGULADORA (R),NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-6.152203,-79.710059,2021-01-12,1,PE-1NJ,65.96433331170114,0.005098046905912172,36.368,85.597
A-2021-01-74,12/01/2021,19:39,CHOQUE,1,0,3.0,LIMA,HUAURA,HUACHO,RURAL,CARRETERA,NACIONAL,PE-1N,-11.18428545214436,-77.57624035482478,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),-11.18428545214436,-77.57624035482478,2021-01-12,1,PE-1N,140.25676703311785,0.003974882637936032,128.204,143.186
A-2021-01-82,13/01/2021,03:10,ATROPELLO FUGA,1,0,1.0,LA LIBERTAD,ASCOPE,CHICAMA,RURAL,CARRETERA,NACIONAL,PE-1N,-7.879217,-79.130121,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-7.879217,-79.130121,2021-01-13,1,PE-1N,599.0678441524004,0.040644785775870294,598.402,604.125
A-2021-01-70,13/01/2021,05:16,ATROPELLO,1,0,1.0,JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,URBANA,CARRETERA,NACIONAL,PE-3S,-11.9379866,-75.3100902,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA,-11.9379866,-75.3100902,2021-01-13,1,PE-3S,105.71593528673651,0.005063494330909587,102.336,105.92
A-2021-01-148,13/01/2021,19:30,CHOQUE,1,1,3.0,PASCO,PASCO,NINACACA,RURAL,CARRETERA,NACIONAL,PE-3N,-10.8866919,-76.0892939,LLUVIOSO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-10.8866919,-76.0892939,2021-01-13,1,PE-3N,88.29921673955921,0.004973375874705408,86.987,110.255
A-2021-01-337,14/01/2021,00:40,DESPISTE,1,0,1.0,AREQUIPA,CAYLLOMA,MAJES,RURAL,CARRETERA,NACIONAL,PE-1S,-16.500643,-72.4077,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,-16.500643,-72.4077,2021-01-14,1,PE-1S,880.9545472036515,0.020021694782163243,875.821,882.571
A-2021-01-209,14/01/2021,17:00,CAÍDA DE PASAJERO,1,0,1.0,LA LIBERTAD,TRUJILLO,LAREDO,RURAL,CARRETERA,NACIONAL,PE-10A,-8.099108,-78.982811,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,CONDUCIR CON FALLAS DE CARROCERÍA,-8.099108,-78.982811,2021-01-14,1,PE-10A,5.781104745423787,0.013356836264344906,0.0,20.181
