id_tramo,lon_mid,lat_mid,dist_ingemmet_km,ingemmet_c5km,dist_peajes_km,dist_cinemometros_km,cinemometros_c2km,cinemometros_c10km
0,-76.66109511449991,-7.882852206499933,1.487118597245455,9.0,179.6043307401032,232.21456071976027,0.0,0.0
1,-76.67319372849991,-7.65069434849994,0.6128576807973033,18.0,154.99579949640693,241.8743882737437,0.0,0.0
2,-71.05011674199994,-17.551660157999947,6.50131081165792,0.0,21.827626227688498,3.6246851594308205,0.0,563.0
3,-75.5114726299999,-13.588795006499936,0.2649382718938132,13.0,6.464977529906885,70.12766120695635,0.0,0.0
4,-76.06320821849994,-13.407511873999937,5.6928138968273645,0.0,15.185862982852337,22.344494569840847,0.0,0.0
5,-71.40997596049993,-16.05403083749991,2.552282815728548,2.0,0.4554456784294429,36.400434074024254,0.0,0.0
6,-71.20252877399992,-16.342717940499938,5.975824734404207,0.0,38.95099486165241,51.991336214445866,0.0,0.0
7,-71.37130999999994,-16.39707999999993,0.7574899790717335,5.0,32.35578920949712,36.69019650997426,0.0,0.0
8,-71.27987826699993,-16.374498315999944,0.9248200458900337,8.0,38.09258701910232,44.84983503160326,0.0,0.0
9,-71.34853766499992,-16.386273997499927,0.7485959839665568,11.0,34.90628164388989,38.412292709434425,0.0,0.0
10,-69.80812562149993,-15.224683115499943,2.1187897711907486,5.0,87.4941849438433,48.870067102390564,0.0,0.0
11,-69.61710548799994,-15.297152062999913,6.00574621578816,0.0,86.96379005251585,59.804191886211456,0.0,0.0
12,-76.34424882199994,-8.327706289499929,2.566660376365791,4.0,202.35972104567819,250.18949489458947,0.0,0.0
13,-73.77096858299993,-15.031204008499941,1.8869854741451488,13.0,70.45066552085204,149.10483820038883,0.0,0.0
14,-78.80013343849993,-7.453233139999924,1.067645898987116,5.0,59.591191405764945,60.680284125807646,0.0,0.0
15,-76.05033225149992,-9.846076023999927,0.6479427328178549,28.0,36.53582079207274,193.3440479159562,0.0,0.0
16,-69.32983135749993,-15.470666073499928,3.16880333074775,1.0,76.11713393578147,74.91389205824227,0.0,0.0
17,-69.33068752449992,-15.449935912999933,4.5049875769805645,1.0,78.13011714084404,76.65788315782333,0.0,0.0
18,-79.94532489649993,-4.447196960499923,1.0996746131367283,11.0,84.78212086405392,98.5105476107871,0.0,0.0
19,-75.04533940049993,-11.685350682499944,0.5894716828193163,26.0,56.66460496993863,40.387725446185044,0.0,0.0
20,-77.90864624999992,-6.208560188499945,0.14458619509500722,44.0,31.840748839894104,208.0611885061976,0.0,0.0
21,-75.68867476999992,-12.282393509499911,0.6252199941834662,16.0,53.70284025974798,52.151110229030294,0.0,0.0
