id,ruta,km0,km1,region,siniestros,fallecidos,onsv_n,sutran_n,ositran_n,siniestros_km,pred_km,eb_km,exceso_eb,exceso_relativo,p95_region,fuente_dominante,criterios,lat,lon
3042,PE-1S,605.303,606.35,COSTA,19,0,0,16,3,18.147086914994784,18.147086914994784,18.147086914994784,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-15.824341024499915,-74.30004080599991
3053,PE-10A,65.573,70.424,SIERRA,50,0,0,3,47,10.307153164295993,10.307153164295993,10.307153164295993,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-7.938906264499934,-78.59646159849993
3112,PE-10A,36.072,41.082,SIERRA,48,0,0,0,48,9.580838323353298,9.580838323353298,9.580838323353298,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-8.008620151999935,-78.74654289399993
3118,PE-3N,165.642,165.729,SIERRA,6,0,0,6,0,68.96551724136543,68.96551724136543,68.96551724136543,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-10.450513243499929,-76.18150919299993
3131,PE-10A,96.316,122.122,SIERRA,253,5,4,0,249,9.803921568627452,9.803921568627452,9.803921568627452,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-8.008285228999938,-78.40728566449994
3134,PE-08B,31.081,31.438,SIERRA,7,1,1,6,0,19.60784313725494,19.60784313725494,19.60784313725494,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-7.0889804754999375,-78.34431295999994
3140,PE-34A,28.076,35.922,SIERRA,44,14,14,1,29,5.6079530971195535,5.6079530971195535,5.6079530971195535,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.416440794499948,-71.61643079449993
3242,PE-1N,446.008,446.124,COSTA,4,101,1,3,0,34.48275862067708,34.48275862067708,34.48275862067708,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-8.965982304499931,-78.62209075099994
3258,PE-28A,311.268,311.438,SIERRA,3,0,0,3,0,17.64705882352776,17.64705882352776,17.64705882352776,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-13.24128042749993,-74.30175218999992
3263,PE-10A,71.816,83.483,SIERRA,112,0,0,0,112,9.599725722122225,9.599725722122225,9.599725722122225,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-7.954517509499936,-78.55904511999992
3271,PE-34A,298.424,300.885,SIERRA,13,3,3,1,9,5.282405526208831,5.282405526208831,5.282405526208831,0.0,0.0,5.026490400963105,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-15.490108140499927,-70.14153935999994
3306,PE-3N,148.299,149.066,SIERRA,6,10000,0,5,1,7.822685788787526,7.822685788787526,7.822685788787526,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-10.58258866299994,-76.1865198879999
3371,PE-1SD,19.967,20.33,COSTA,9,0,0,9,0,24.793388429752095,24.793388429752095,24.793388429752095,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-16.693612584999926,-72.48163283649993
3426,PE-34H,68.663,68.865,SIERRA,3,2,0,3,0,14.851485148514985,14.851485148514985,14.851485148514985,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-15.063653945499937,-69.80625534149993
3480,PE-1NA,19.37,22.85,COSTA,49,4,4,6,39,14.08045977011494,14.08045977011494,14.08045977011494,0.0,0.0,12.478043810208932,OSITRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.625094073499952,-77.22245769099993
3511,PE-3S,31.234,31.375,SIERRA,13,10,0,13,0,92.19858156028484,92.19858156028484,92.19858156028484,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.699587091999945,-75.76518918699995
3559,PE-5S,12.892,13.388,SELVA,3,0,0,3,0,6.048387096774189,6.048387096774189,6.048387096774189,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-10.938759940999944,-75.20470046299994
3605,PE-5N,0.0,0.41,SELVA,3,1,0,3,0,7.317073170731708,7.317073170731708,7.317073170731708,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-10.961620356499935,-75.29436128899991
3621,PE-5N,469.96,473.073,SELVA,12,0,0,10,2,3.85480244137488,3.85480244137488,3.85480244137488,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-9.196876906499938,-75.87363821299994
3627,PE-5N,482.247,483.247,SELVA,12,1000000010,0,11,1,12.0,12.0,12.0,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-9.187261517499934,-75.95737338149993
3651,PE-5N,557.015,557.525,SELVA,3,0,0,3,0,5.882352941176576,5.882352941176576,5.882352941176576,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-8.74498707899994,-76.22760832949993
3659,PE-5N,595.103,596.31,SELVA,5,0,0,4,1,4.142502071251058,4.142502071251058,4.142502071251058,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-8.425161782999936,-76.32702889649991
3738,PE-34J,0.0,0.093,SIERRA,14,10000100000001,0,14,0,150.53763440860214,150.53763440860214,150.53763440860214,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-15.767173013999953,-71.00525053799993
